,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,1.199e-04,2.460e-04,2.954e-04,1.306e-04,2.448e-04,6.146e-05,6.739e-06,7.815e-05,5.331e-05
std,8.434e-05,6.168e-05,3.667e-04,8.777e-05,1.044e-04,6.066e-05,5.564e-06,7.129e-05,4.009e-05
min,1.788e-07,1.187e-04,0.000e+00,3.576e-07,1.013e-06,7.749e-07,1.595e-08,5.960e-08,1.192e-07
0.1%,1.788e-07,1.187e-04,0.000e+00,3.576e-07,1.013e-06,7.749e-07,1.595e-08,5.960e-08,1.192e-07
25%,5.065e-05,2.035e-04,0.000e+00,5.784e-05,1.762e-04,8.844e-06,2.525e-06,2.933e-05,1.705e-05
50%,1.107e-04,2.464e-04,1.378e-04,1.226e-04,2.389e-04,4.908e-05,5.101e-06,5.230e-05,5.090e-05
75%,1.898e-04,2.973e-04,5.423e-04,1.935e-04,3.063e-04,9.858e-05,1.047e-05,1.206e-04,8.408e-05
99.9%,4.905e-04,3.502e-04,1.697e-03,3.764e-04,5.758e-04,3.087e-04,2.505e-05,3.739e-04,1.661e-04
max,4.905e-04,3.502e-04,1.697e-03,3.764e-04,5.758e-04,3.087e-04,2.505e-05,3.739e-04,1.661e-04
