City,Country,ERA5_C,T2100_C,beta
São Paulo,Brazil,21.611022779685477,23.4380104534685,1.1787017250213045
Buenos Aires,Argentina,16.612312312946298,17.714263120472513,0.7109360048556238
Rio de Janeiro,Brazil,22.151087062727488,23.433927117722977,0.8276387451583802
Lima,Peru,14.245926407274181,15.593092373640621,0.8691393331396389
Bogotá,Colombia,20.39599050362206,21.929067293597225,0.9890817999839783
Santiago,Chile,9.738375102573286,11.183980567947113,0.932648687337953
Caracas,Venezuela,26.935042157082204,28.652324517874366,1.1079241037368774
Quito,Ecuador,21.855075857424694,23.45887678798815,1.0347102777828738
La Paz,Bolivia,11.5831758295313,13.367025939108478,1.1508710384368896
Brasília,Brazil,24.376885884796206,26.300873197714438,1.2412821373666008
Medellín,Colombia,20.39599050362206,21.929067293597225,0.9890817999839783
Guayaquil,Ecuador,19.761328551838744,21.18578251653689,0.9190025578697714
Asunción,Paraguay,22.833503516881656,24.483733205669285,1.0646643153468567
Montevideo,Uruguay,16.307887796818108,17.199392821838188,0.5751645322710205
Curitiba,Brazil,19.53833565316974,21.053751286902664,0.9776875056341455
