City,Country,ERA5_C,Had_2100_C,MPI_2100_C
São Paulo,Brazil,21.611022779685477,23.4380104534685,23.568937331764836
Buenos Aires,Argentina,16.612312312946298,17.714263120472513,17.949131503538247
Rio de Janeiro,Brazil,22.151087062727488,23.433927117722977,23.60464444973412
Lima,Peru,14.245926407274181,15.593092373640621,16.30021971742094
Bogotá,Colombia,20.39599050362206,21.929067293597225,22.354108251833274
Santiago,Chile,9.738375102573286,11.183980567947113,11.581543323768987
Caracas,Venezuela,26.935042157082204,28.652324517874366,29.044703736599175
Quito,Ecuador,21.855075857424694,23.45887678798815,23.921043273456394
La Paz,Bolivia,11.5831758295313,13.367025939108478,13.890166033894186
Brasília,Brazil,24.376885884796206,26.300873197714438,26.249779514185
Medellín,Colombia,20.39599050362206,21.929067293597225,22.354108251833274
Guayaquil,Ecuador,19.761328551838744,21.18578251653689,21.451414555800948
Asunción,Paraguay,22.833503516881656,24.483733205669285,25.31981393045501
Montevideo,Uruguay,16.307887796818108,17.199392821838188,17.59352578541121
Curitiba,Brazil,19.53833565316974,21.053751286902664,21.42480012961318
